tag,JD,launch_date,launch_year,type,variant,mission,site,agency_raw,agency,provider_group,state_code,category,agency_type,color_category,launch_code
2002-027,2452430.78,2002 Jun  5 0644,2002,Ariane 44L,44L-3,INTELSAT 905,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2002-028,2452431.39,2002 Jun  5 2122:49,2002,Space Shuttle,-,OV-105 ISS,KSC,JSC/MSFC,NASA / US Military,United States,US,O,state,state_us,OS
2002-029,2452435.55,2002 Jun 10 0114:00,2002,Proton-K/DM-2M,DM-2M,Ekspress-A No. 4,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-030,2452441.44,2002 Jun 15 2239:30,2002,Zenit-3SL,-,Galaxy III-C,KLA,SEALP,Intl Commercial (SeaLaunch),International Commercial,US,O,private,private_intl_commercial,OS
2002-031,2452445.90,2002 Jun 20 0933:46,2002,Rokot,-,Iridium SV097,GIK-1,EUROK,Intl Commercial (Eurockot),International Commercial,RU,O,private,private_intl_commercial,OS
2002-032,2452450.27,2002 Jun 24 1823:04,2002,Titan II SLV,-,NOAA M,VS,2SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2002-033,2452451.73,2002 Jun 26 0536:30,2002,Soyuz-U-PVB,-,Progress M No. 246,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-034,2452458.78,2002 Jul  3 0647:41,2002,Delta 7425-9.5,-,Contour,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,DS
2002-035,2452461.47,2002 Jul  5 2322:00,2002,Ariane 5G,-,Stellat 5,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2002-036,2452463.77,2002 Jul  8 0635:41,2002,Kosmos 11K65M,-,Strela-3,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-037,2452481.13,2002 Jul 25 1513:21,2002,Proton-K/17S40,DM-5,Arkon 11F664 No. 2?,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-038,2452508.42,2002 Aug 21 2205:00,2002,Atlas V 401,-,Eutelsat HB6,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2002-039,2452508.72,2002 Aug 22 0515:00,2002,Proton-K/DM-2M,DM3,Echostar 8,GIK-5,ILSK,Intl Commercial (ILS-K),International Commercial,RU,O,private,private_intl_commercial,OS
2002-040,2452515.45,2002 Aug 28 2245:00,2002,Ariane 5G,-,Atlantic Bird 1,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2002-041,2452523.78,2002 Sep  6 0644,2002,Ariane 44L,44L-3,INTELSAT 906,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2002-042,2452527.85,2002 Sep 10 0820,2002,H-IIA 2024,-,USERS SEM,TNSC,NASDA,Japan (JAXA / ISAS / NASDA),Japan,J,O,state,state_japan,OS
2002-043,2452529.93,2002 Sep 12 1023:40,2002,PSLV,C,METSAT-1,SHAR,ISRO,India (ISRO),India,IN,O,state,state_india,OS
2002-F01,2452532.94,2002 Sep 15 1030,2002,KT-1,-,HTSTL-1,TYSC,PLA2AC,China (CASC / CALT / SAST),China,CN,F,state,state_china,OF
2002-044,2452536.42,2002 Sep 18 2204:01,2002,Atlas IIAS,-,Hispasat 1D,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2002-045,2452543.21,2002 Sep 25 1658:24,2002,Soyuz-FG,-,Progress M1 No. 258,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-046,2452544.10,2002 Sep 26 1427:14,2002,Kosmos 11K65M,-,Nadezhda-M 17F118M No. 4,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-047,2452555.32,2002 Oct  7 1945:51,2002,Space Shuttle,-,OV-104 ISS,KSC,JSC/MSFC,NASA / US Military,United States,US,O,state,state_us,OS
2002-F02,2452563.26,2002 Oct 15 1820:00,2002,Soyuz-U-PVB,-,Foton-M No. 1,GIK-1,RAKA,Roscosmos / Russian Military,Russia,RU,F,state,state_russia,OF
2002-048,2452564.70,2002 Oct 17 0441:00,2002,Proton-K/17S40,DM2,Integral,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-049,2452574.64,2002 Oct 27 0317,2002,Chang Zheng 4B,-,ziyuan erhao 02 xing,TYSC,SAST,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2002-050,2452577.63,2002 Oct 30 0311:11,2002,Soyuz-FG,-,Soyuz 11F732 No. 211,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-051,2452599.44,2002 Nov 20 2239:00,2002,"Delta 4M+(4,2)",-,Eutelsat W5,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2002-052,2452602.53,2002 Nov 24 0049:47,2002,Space Shuttle,-,OV-105 ISS,KSC,JSC/MSFC,NASA / US Military,United States,US,O,state,state_us,OS
2002-053,2452604.46,2002 Nov 25 2304:23,2002,Proton-K/DM-2M,DM3,Astra 1K,GIK-5,ILSK,Intl Commercial (ILS-K),International Commercial,RU,F,private,private_intl_commercial,OF40
2002-054,2452606.75,2002 Nov 28 0607:07,2002,Kosmos 11K65M,-,DMC Alsat-1,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-055,2452613.61,2002 Dec  5 0242:01,2002,Atlas IIA,-,TDRS J,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2002-F03,2452620.43,2002 Dec 11 2222,2002,Ariane 5ECA,-,Hot Bird 7,CSG,AE,Arianespace,Arianespace,F,F,private,private_arianespace,OF
2002-056,2452622.56,2002 Dec 14 0131,2002,H-IIA 202,-,ADEOS-2,TNSC,NASDA,Japan (JAXA / ISAS / NASDA),Japan,J,O,state,state_japan,OS
2002-057,2452626.46,2002 Dec 17 2304,2002,Ariane 44L,44L-3,NSS 6,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2002-058,2452629.21,2002 Dec 20 1700:00,2002,Dnepr,-,Dnepr Rideshare 2,GIK-5,KTRAS/RVSNR,Kosmotras,Other Commercial,RU,O,private,private_other,OS
2002-059,2452633.01,2002 Dec 24 1220:13,2002,Molniya 8K78M,2BL,Oko US-KS,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-060,2452633.82,2002 Dec 25 0737:58,2002,Proton-K/DM-2,-,Uragan No. 791,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2002-061,2452638.19,2002 Dec 29 1640:04,2002,Chang Zheng 2F,-,Shenzhou 4 Fanhui Cang,JQ,CALT,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2002-062,2452638.47,2002 Dec 29 2316:40,2002,Proton-M/Briz-M,-,Nimiq 2,GIK-5,ILSK,Intl Commercial (ILS-K),International Commercial,RU,O,private,private_intl_commercial,OS
2003-001,2452646.10,2003 Jan  6 1419,2003,Titan II SLV,-,P98-2 Coriolis,VS,2SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2003-002,2452652.53,2003 Jan 13 0045:00,2003,Delta 7320-10,-,Icesat,V,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-003,2452656.15,2003 Jan 16 1539:00,2003,Space Shuttle,-,OV-102 Research,KSC,JSC/MSFC,NASA / US Military,United States,US,O,state,state_us,OS
2003-004,2452665.34,2003 Jan 25 2013:35,2003,Pegasus XL,-,SORCE,CC,OSC,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-005,2452669.25,2003 Jan 29 1806:00,2003,Delta 7925-9.5,-,Navstar GPS SVN 56,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-006,2452673.04,2003 Feb  2 1259:40,2003,Soyuz-U-PVB,-,Progress M No. 247,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
